edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to,elev_from,geometry.x,elev_to,geometry.y,elev_diff,slope,length_3d_m
2549898,Gordon Dr,collector,paved,2,NA,23.6312,23.631213870676863,3912,3910,1211,"c(1468241.5, 562027.5)",1209,"c(1468239, 562051)",-2,-0.08463382418461919,23.715696679660724
2549901,turning lane,yield,paved,1,NA,30.2296,30.22961831707468,3938,3910,1231,"c(1468264.5, 562040.5)",1209,"c(1468239, 562051)",-22,-0.7277630755785519,37.38756241848373
2549897,Sutherland Ave,local,paved,2,NA,217.523,217.52298024820013,3938,4163,1231,"c(1468264.5, 562040.5)",1369,"c(1468478, 562070)",138,0.6344157285935396,257.6048270822169
2549899,Gordon Dr,collector,paved,2,NA,108.362,108.36200565233814,3910,3898,1209,"c(1468239, 562051)",1197,"c(1468229, 562159)",-12,-0.11073992150440669,109.02442051667765
2399756,unnamed lane,lane,loose,2,NA,48.4399,48.43990669907305,3570,3629,998,"c(1467925.5, 562080)",1032,"c(1467973.5, 562083.5)",34,0.7019006087526306,59.18128556406072
2399757,unnamed lane,lane,loose,2,NA,49.7659,49.76591301267383,3629,3670,1032,"c(1467973.5, 562083.5)",1051,"c(1468023, 562087.5)",19,0.38178742938286475,53.2695607076407
2155787,service road,service,loose,2,NA,284.1369,284.1368940478886,4704,4868,1641,"c(1469043, 562087)",1737,"c(1469268.5, 562180.5)",96,0.3378653107393372,299.9162792500285
2399751,unnamed lane,lane,loose,2,NA,53.5364,53.53636552847463,3670,3718,1051,"c(1468023, 562087.5)",1076,"c(1468076.5, 562092)",25,0.46697230477297036,59.085890312311
2399752,unnamed lane,lane,loose,2,NA,52.5482,52.54822380452614,3718,3788,1076,"c(1468076.5, 562092)",1120,"c(1468129, 562095.5)",44,0.8373261133178425,68.5369668500917
2156208,Dickson Ave,local,paved,2,NA,74.4333,74.43334588736508,4834,4868,1717,"c(1469209.5, 562135)",1737,"c(1469268.5, 562180.5)",20,0.26869677510217854,77.07349077334001
2614383,Graham St,local,paved,2,NA,62.7376,62.737628262494155,3527,3533,967,"c(1467885, 563569)",970,"c(1467891.5, 563506.5)",3,0.0478181927351159,62.8093145958695
2538709,Glenview Crt,strata,loose,2,NA,229.4167,229.41669059585672,4276,4285,1430,"c(1468588, 563748.5)",1434,"c(1468595, 563527)",4,0.017435523063343502,229.45155899220876
2585704,Gordon Dr,collector,paved,2,NA,6.581,6.580960796652948,3735,3738,1087,"c(1468098, 563542.5)",1089,"c(1468099, 563536)",2,0.3039069919725388,6.878157093806669
2585710,Clement Ave,collector,paved,2,NA,8.9118,8.911817884024067,3748,3738,1098,"c(1468107.5, 563536.5)",1089,"c(1468099, 563536)",-9,-1.0098949638697188,12.665721376929591
2585708,Okanagan Rail Trail,trail,paved,1,NA,14.4011,14.401104822900894,3748,3735,1098,"c(1468107.5, 563536.5)",1087,"c(1468098, 563542.5)",-11,-0.7638302849172797,18.121584371135416
2585703,Gordon Dr,collector,paved,2,NA,64.1185,64.11847356618387,3727,3735,1083,"c(1468092.5, 563606.5)",1087,"c(1468098, 563542.5)",4,0.06238451693443936,64.24312144080032
2538711,Lambert Lane,strata,paved,2,NA,201.281,201.28096822459753,4398,4433,1493,"c(1468679.5, 563783)",1510,"c(1468720, 563595)",17,0.08445905318296515,201.99759446446743
2538712,NA,trail,paved,1,NA,103.0935,103.09350385060928,4276,4398,1430,"c(1468588, 563748.5)",1493,"c(1468679.5, 563783)",63,0.6110957300596944,120.81916460642985
2538708,Glenview Crt,local,loose,2,NA,80.4584,80.45840926304317,4224,4276,1401,"c(1468539, 563810.5)",1430,"c(1468588, 563748.5)",29,0.3604346676205109,85.52517536456357
2538710,Lambert Lane,strata,paved,2,NA,34.474,34.47401118645968,4414,4398,1501,"c(1468691, 563813.5)",1493,"c(1468679.5, 563783)",-8,-0.23205886767079056,35.39007554787283
